data,valor
27.07.2020,"321,8"
26.07.2020,"311,13"
25.07.2020,"305,32"
24.07.2020,"279,33"
23.07.2020,"275,34"
22.07.2020,"263,28"
21.07.2020,"245,53"
20.07.2020,"236,1"
19.07.2020,"239,01"
18.07.2020,"235,75"
17.07.2020,"232,75"
16.07.2020,"233,65"
15.07.2020,"238,62"
14.07.2020,"240,5"
13.07.2020,"239,73"
12.07.2020,"242,75"
11.07.2020,"239,2"
10.07.2020,"241,26"
09.07.2020,"242,02"
08.07.2020,"246,99"
07.07.2020,"239,25"
06.07.2020,"241,56"
05.07.2020,"227,98"
04.07.2020,"229,15"
03.07.2020,"225,12"
02.07.2020,"226,42"
01.07.2020,"230,95"
30.06.2020,"225,63"
29.06.2020,"227,87"
28.06.2020,"225,09"
27.06.2020,"221,06"
26.06.2020,"229,67"
25.06.2020,"232,56"
24.06.2020,"234,75"
23.06.2020,"243,2"
22.06.2020,"243,25"
21.06.2020,"228,13"
20.06.2020,"228,86"
19.06.2020,"229,11"
18.06.2020,"231,34"
17.06.2020,"233,88"
16.06.2020,"235,36"
15.06.2020,"230,93"
14.06.2020,"232,02"
13.06.2020,"238,22"
12.06.2020,"237,54"
11.06.2020,"230,71"
10.06.2020,"247,78"
09.06.2020,"243,82"
08.06.2020,"246,18"
07.06.2020,"244,56"
06.06.2020,242
05.06.2020,"240,23"
04.06.2020,"243,37"
03.06.2020,"244,52"
02.06.2020,"237,94"
01.06.2020,"247,97"
31.05.2020,"231,81"
30.05.2020,"243,63"
29.05.2020,"220,66"
28.05.2020,"220,18"
27.05.2020,"208,18"
26.05.2020,201
25.05.2020,"204,13"
24.05.2020,"199,97"
23.05.2020,"206,62"
22.05.2020,"207,35"
21.05.2020,"198,75"
20.05.2020,"209,99"
19.05.2020,"214,51"
18.05.2020,"214,87"
17.05.2020,207
16.05.2020,"200,51"
15.05.2020,"194,85"
14.05.2020,"203,3"
13.05.2020,"199,58"
